1.600680636220753854e+02,7.658423149408635311e+01
2.951446215512150957e+02,2.791812002545009932e+02
8.113739503767469330e+01,3.708565239946752286e+02
2.298327526351978278e+01,1.581781976398534653e+02
9.633056519219971392e+01,7.933495278445602139e+01
2.701246477877029974e+02,6.889486505701599128e+01
1.329099855827026886e+02,5.590302333875474687e+02
2.434885529408612470e+01,2.443394820149288762e+02
1.101125869151482739e+01,8.272962605628217148e+01
3.498495661976097892e+01,2.312547585593477706e+01
3.195819797855443198e+02,2.670505291199455655e+01
1.562525776935889610e+02,6.923546115420500655e+02
1.474419474689167764e+01,2.948868351257991662e+02
1.050858823222160510e+01,9.769016666188348097e+01
2.464436604458268931e+01,1.620554131102446860e+01
