1.731647313189288866e+02,6.991026050163422667e+01
3.017953855972586439e+02,3.400447377529571895e+02
3.517406755239925786e+01,3.125713910240290261e+02
4.326355557787238837e+01,1.226019948802662327e+02
1.367837245358360860e+02,8.642602505111345579e+01
2.564209645840619487e+02,2.397484352673579906e+02
4.871155410034695876e+01,3.431917431441884219e+02
4.193359111154985186e+01,1.212251686131266410e+02
1.169300465851603974e+02,7.706034417444206497e+01
2.932716627845159678e+02,1.761604263960425669e+02
8.984087749104811849e+01,4.080772663223485779e+02
3.714389227865595444e+01,2.024529045231590771e+02
8.782394792357473534e+01,1.261407138704517905e+02
1.521225920084980885e+02,1.671433927838221223e+02
1.329054931597301561e+02,2.345807000197013679e+02
1.237358417016667858e+02,2.443363034749090161e+02
